,ReturnTS,TaxYr,TaxPeriodBeginDt,TaxPeriodEndDt,pp_SelfEmployedInc,pp_PTIN,pp_PreparerSSN,pp_PreparerFirmEIN,pp_PreparerPersNm,pp_us_AddressLine1Txt,pp_us_AddressLine2Txt,pp_us_CityNm,pp_us_StateAbbreviationCd,pp_us_ZIPCd,pp_us_InCareOf,pp_PhoneNum,pp_EmailAddress,fi_prim_tn_FirstName,fi_prim_tn_MiddleInitial,fi_prim_tn_LastName,fi_prim_TaxpayerPIN,fi_prim_TaxpayerSSN,fi_prim_DateofBirth,fi_prim_DataSigned,fi_prim_USPhone,fi_sec_tn_FirstName,fi_sec_tn_MiddleInitial,fi_sec_tn_LastName,fi_sec_TaxpayerSSN,fi_sec_DateofBirth,fi_sec_DateSigned,fi_sec_USPhone,is_fraud
0,2022-06-20 14:28:18,2021,2021-01-01,2021-12-31,,,,,,,,,,,,,,Jonathan,N,Dunn,36586,447-98-6787,1986-11-14,2022-04-09,4107752702,Patrick,E,White,629-98-6787,1964-07-29,2022-06-20 14:28:18,4436934997,0
1,2022-06-12 01:53:30,2021,2021-01-01,2021-12-31,0,P77985825,490-98-6787,,Gregory Miranda Schmitt,650 Franklin St,,Baltimore,MD,21281,,2409740124,Gregory.Schmitt@msu.edu,Kurt,J,Matthews,03359,343-98-6787,1979-10-15,2022-03-13,4109361676,Louis,G,Salazar,605-98-6787,1982-04-05,2022-06-12 01:53:30,2409049033,0
2,2021-10-07 17:04:27,2020,2020-01-01,2020-12-31,,,,,,,,,,,,,,Kevin,G,Shipley,45270,676-98-6787,2001-07-19,2021-02-23,4439048981,Tiffany,J,Smith,351-98-6787,2000-04-22,2021-10-07 17:04:27,4102469456,0
3,2022-07-15 18:44:33,2021,2021-01-01,2021-12-31,0,P00547747,320-98-6787,,Roger David Torres,6024 Railroad Ave,,Salisbury,MD,21803,Wilfredo James Parker,2403948440,Roger.Torres@msn.com,Ann,M,Christie,88943,905-98-6787,1972-05-11,2022-04-19,2406582562,Rafael,M,Beal,278-98-6787,1976-10-08,2022-07-15 18:44:33,2406950380,0
4,2022-04-01 12:05:59,2021,2021-01-01,2021-12-31,,,,,,,,,,,,,,Lois,K,Sheridan,69652,790-98-6787,1956-12-01,2022-02-07,4439949125,,,,,,,,0
5,2022-06-16 01:32:50,2021,2021-01-01,2021-12-31,1,P81410788,322-64-6245,,Carol Thurman Nguyen,716 1st St,,Parkville,,21234,Carol Thurman Nguyen,4107792748,Carol.Nguyen@Nguyen.net,Arthur,F,Ramsey,85508,977-64-6245,1985-08-20,2022-02-03,4106833002,,,,,,,,1
6,2022-12-10 04:14:01,2021,2021-01-01,2021-12-31,,,,,,,,,,,,,,Gregory,R,Warren,01721,434-98-6787,1944-06-09,2022-02-14,4103695076,,,,,,,,0
7,2021-06-25 18:45:16,2020,2020-01-01,2020-12-31,,,,,,,,,,,,,,Kimberly,J,King,43017,690-98-6787,1994-12-19,2021-04-13,4101132626,Matthew,D,Odom,628-98-6787,2001-10-05,2021-06-25 18:45:16,2401118742,0
8,2022-12-08 16:46:52,2021,2021-01-01,2021-12-31,,,,,,,,,,,,,,Flora,K,Brown,86631,631-98-6787,1976-12-23,2022-03-07,4104847769,,,,,,,,0
9,2022-05-28 03:00:36,2021,2021-01-01,2021-12-31,,,,,,,,,,,,,,Victor,E,Sepulveda,00567,615-98-6787,1961-08-24,2022-02-06,3010466007,,,,,,,,0
